age,college,draft_year,draft_round,draft_number,player_name,player_height,team_abbreviation
129,26.0,Rice,Undrafted,Undrafted,Undrafted,Brent Scott,208.28,IND
130,29.0,Augustana (SD),Undrafted,Undrafted,Undrafted,Brett Szabo,210.82,BOS
131,23.0,Indiana,1996,1,27,Brian Evans,203.2,ORL
132,25.0,Xavier,1994,1,8,Brian Grant,205.74,SAC
133,31.0,California-Santa Barbara,1988,1,24,Brian Shaw,198.12,ORL
134,32.0,None,1986,1,24,Arvydas Sabonis,220.98,POR
135,33.0,Nevada-Las Vegas,1987,1,2,Armen Gilliam,205.74,MIL
136,22.0,Alabama,1995,1,2,Antonio McDyess,205.74,DEN
137,25.0,Duke,1994,2,29,Antonio Lang,203.2,CLE
138,33.0,Oregon State,1985,1,23,A.C. Green,205.74,DAL
139,24.0,Temple,1994,1,17,Aaron McKie,195.58,DET
140,25.0,Xavier,Undrafted,Undrafted,Undrafted,Aaron Williams,205.74,VAN
141,27.0,Iowa,1993,1,19,Acie Earl,210.82,MIL
142,27.0,Stanford,1992,1,10,Adam Keefe,205.74,UTA
143,30.0,Lamar,Undrafted,Undrafted,Undrafted,Adrian Caldwell,203.2,PHI
144,24.0,Indiana,1995,1,16,Alan Henderson,205.74,ATL
145,29.0,None,Undrafted,Undrafted,Undrafted,Aleksandar Djordjevic,187.96,POR
146,26.0,Tennessee,1993,1,11,Allan Houston,198.12,NYK
147,22.0,Georgetown,1996,1,1,Allen Iverson,182.88,PHI
148,27.0,Georgetown,1992,1,2,Alonzo Mourning,208.28,MIA
149,26.0,Oklahoma State,1994,1,27,Brooks Thompson,193.04,DEN
150,38.0,Arizona State,1981,1,21,Alton Lister,213.36,BOS
151,24.0,Florida,1995,2,34,Andrew DeClercq,208.28,GSW
152,31.0,Arkansas,1988,2,28,Andrew Lang,210.82,MIL
153,25.0,Memphis,1993,1,3,Anfernee Hardaway,200.66,ORL
154,25.0,Houston,1994,2,52,Anthony Goldwire,187.96,DEN
155,30.0,Tennessee State,1988,3,53,Anthony Mason,203.2,CHH
156,25.0,Michigan State,1994,2,39,Anthony Miller,205.74,ATL
157,27.0,Missouri,1992,1,15,Anthony Peeler,193.04,VAN
158,35.0,Wichita State,1983,1,8,Antoine Carr,205.74,UTA
159,20.0,Kentucky,1996,1,6,Antoine Walker,205.74,BOS
160,28.0,Texas-El Paso,1990,2,45,Antonio Davis,205.74,IND
161,26.0,Pfeiffer,Undrafted,Undrafted,Undrafted,Antonio Harvey,210.82,SEA
162,23.0,Marquette,1996,2,49,Amal McCaskill,210.82,ORL
163,26.0,Cal State-Fullerton,Undrafted,Undrafted,Undrafted,Bruce Bowen,200.66,MIA
164,24.0,Oklahoma State,1995,1,6,Bryant Reeves,213.36,VAN
165,26.0,Virginia,1992,1,13,Bryant Stith,195.58,DEN
166,30.0,Connecticut,1989,2,36,Clifford Robinson,208.28,POR
167,24.0,Louisville,1994,1,16,Clifford Rozier,210.82,TOR
