player_name,team_abbreviation,points,rebounds,assists,net_rating,season
330,Terry Mills,DET,10.8,4.8,1.3,11.4,1996-97
331,Priest Lauderdale,ATL,3.2,1.2,0.3,-4.0,1996-97
332,Shawn Respert,TOR,4.2,1.0,1.0,-4.1,1996-97
333,Pooh Richardson,LAC,5.6,1.7,2.9,-5.2,1996-97
334,Kevin Duckworth,LAC,4.0,2.3,0.6,-19.5,1996-97
335,Kevin Edwards,NJN,5.9,1.3,1.8,-10.1,1996-97
336,Kevin Gamble,SAC,5.0,1.7,1.2,-5.6,1996-97
337,Kevin Garnett,MIN,17.0,8.0,3.1,2.8,1996-97
338,Kevin Johnson,PHX,20.1,3.6,9.3,2.9,1996-97
339,Kevin Salvadori,SAC,1.6,1.1,0.4,3.5,1996-97
340,Kevin Willis,HOU,11.2,7.5,0.9,0.9,1996-97
341,Khalid Reeves,DAL,8.2,1.9,3.6,-9.7,1996-97
342,Kobe Bryant,LAL,7.6,1.9,1.3,2.2,1996-97
343,Kurt Thomas,MIA,6.3,5.9,0.5,-0.8,1996-97
344,LaPhonso Ellis,DEN,21.9,7.0,2.4,-5.9,1996-97
345,LaSalle Thompson,IND,0.4,1.3,0.1,-12.8,1996-97
346,Lamond Murray,LAC,7.4,3.1,0.8,-1.4,1996-97
347,Larry Johnson,NYK,12.8,5.2,2.3,4.7,1996-97
348,Larry Krystkowiak,LAL,1.0,1.7,1.0,13.9,1996-97
349,Larry Stewart,SEA,4.3,2.4,0.7,5.8,1996-97
350,Latrell Sprewell,GSW,24.2,4.6,6.3,-3.3,1996-97
351,Lawrence Moten,VAN,6.7,1.8,1.9,-10.6,1996-97
352,Lee Mayberry,VAN,5.1,1.7,4.1,-11.0,1996-97
353,Lindsey Hunter,DET,14.2,2.8,1.9,5.1,1996-97
354,Lionel Simmons,SAC,3.4,2.5,1.4,-10.5,1996-97
355,Litterial Green,DET,2.0,0.5,0.9,17.0,1996-97
356,Lloyd Daniels,NJN,4.5,2.0,1.2,-8.9,1996-97
357,Kerry Kittles,NJN,16.4,3.9,3.0,-5.2,1996-97
358,Kenny Smith,DEN,6.3,0.9,2.4,-14.2,1996-97
359,Kenny Anderson,POR,17.5,4.4,7.1,4.8,1996-97
360,Kendall Gill,NJN,21.8,6.1,4.0,-3.6,1996-97
361,Jim Jackson,NJN,15.9,5.3,4.1,-8.4,1996-97
362,Popeye Jones,TOR,7.8,8.6,1.1,-2.8,1996-97
363,Jimmy Carruth,MIL,1.3,1.0,0.0,-17.7,1996-97
364,Jimmy King,DEN,3.0,1.0,1.0,-42.5,1996-97
365,Jimmy Oliver,TOR,2.8,1.3,0.3,-40.8,1996-97
366,Joe Courtney,SAS,2.8,1.8,0.0,-6.1,1996-97
367,Joe Dumars,DET,14.7,2.4,4.0,6.1,1996-97
368,Joe Kleine,NJN,2.8,3.4,0.6,-7.6,1996-97
369,Joe Smith,GSW,18.7,8.5,1.6,-3.3,1996-97
370,Joe Stephens,HOU,1.5,1.5,0.0,-17.4,1996-97
371,Joe Wolf,MIL,1.7,2.0,0.4,-3.5,1996-97
372,Loren Meyer,PHX,4.9,2.7,0.4,-6.7,1996-97
373,John Crotty,MIA,4.8,1.0,2.1,-2.1,1996-97
374,John Starks,NYK,13.8,2.7,2.8,6.5,1996-97
375,John Stockton,UTA,14.4,2.8,10.5,11.4,1996-97
376,John Wallace,NYK,4.8,2.3,0.5,2.7,1996-97
377,Johnny Newman,MIL,8.7,2.3,1.4,0.2,1996-97
378,Jon Barry,ATL,4.9,1.7,2.0,5.0,1996-97
379,Jud Buechler,CHI,1.8,1.7,0.8,5.4,1996-97
380,Juwan Howard,WAS,19.1,8.0,3.8,1.3,1996-97
381,Karl Malone,UTA,27.4,9.9,4.5,12.8,1996-97
382,Keith Askins,MIA,4.9,3.5,1.0,6.1,1996-97
383,Keith Tower,MIL,1.4,1.8,0.2,5.6,1996-97
384,Ken Norman,ATL,3.8,2.3,0.7,-9.1,1996-97
385,John Long,TOR,4.0,1.3,0.7,-9.8,1996-97
386,Lorenzen Wright,LAC,7.3,6.1,0.6,-3.7,1996-97
387,Jim McIlvaine,SEA,3.8,4.0,0.3,9.7,1996-97
